"payment_id","order_id","payment_method","payment_status","currency","food_amount","delivery_fee","total_amount"
"PAY-000001","ORD-000001","apple_pay","paid","EUR",68.39,3.99,72.38
"PAY-000002","ORD-000002","paypal","paid","EUR",42.71,0.00,42.71
"PAY-000003","ORD-000003","card","paid","EUR",12.89,3.99,16.88
"PAY-000004","ORD-000004","paypal","paid","EUR",67.50,3.99,71.49
"PAY-000005","ORD-000005","paypal","paid","EUR",11.47,3.99,15.46
"PAY-000006","ORD-000006","paypal","paid","EUR",9.48,3.99,13.47
"PAY-000007","ORD-000007","paypal","paid","EUR",48.53,3.99,52.52
"PAY-000008","ORD-000008","card","paid","EUR",17.40,3.99,21.39
"PAY-000009","ORD-000009","apple_pay","paid","EUR",18.23,3.99,22.22
"PAY-000010","ORD-000010","google_pay","paid","EUR",62.37,0.00,62.37
"PAY-000011","ORD-000011","google_pay","paid","EUR",34.46,3.99,38.45
"PAY-000012","ORD-000012","google_pay","paid","EUR",10.83,3.99,14.82
"PAY-000013","ORD-000013","paypal","paid","EUR",61.99,3.99,65.98
"PAY-000014","ORD-000014","paypal","paid","EUR",51.20,0.00,51.20
"PAY-000015","ORD-000015","google_pay","paid","EUR",42.27,3.99,46.26
"PAY-000016","ORD-000016","google_pay","paid","EUR",51.86,3.99,55.85
"PAY-000017","ORD-000017","card","paid","EUR",25.95,3.99,29.94
"PAY-000018","ORD-000018","google_pay","paid","EUR",49.31,3.99,53.30
"PAY-000019","ORD-000019","apple_pay","paid","EUR",38.24,0.00,38.24
"PAY-000020","ORD-000020","apple_pay","paid","EUR",50.83,3.99,54.82
"PAY-000021","ORD-000021","google_pay","paid","EUR",43.98,3.99,47.97
"PAY-000022","ORD-000022","apple_pay","paid","EUR",19.49,3.99,23.48
"PAY-000023","ORD-000023","card","paid","EUR",44.66,0.00,44.66
"PAY-000024","ORD-000024","paypal","paid","EUR",16.75,3.99,20.74
"PAY-000025","ORD-000025","paypal","paid","EUR",30.58,3.99,34.57
"PAY-000026","ORD-000026","paypal","paid","EUR",11.21,3.99,15.20
"PAY-000027","ORD-000027","apple_pay","paid","EUR",28.96,3.99,32.95
"PAY-000028","ORD-000028","paypal","paid","EUR",50.44,3.99,54.43
"PAY-000029","ORD-000029","apple_pay","paid","EUR",34.76,3.99,38.75
"PAY-000030","ORD-000030","paypal","refunded","EUR",32.11,3.99,36.10
"PAY-000031","ORD-000031","google_pay","paid","EUR",36.83,3.99,40.82
"PAY-000032","ORD-000032","apple_pay","refunded","EUR",37.49,3.99,41.48
"PAY-000033","ORD-000033","apple_pay","paid","EUR",64.77,3.99,68.76
"PAY-000034","ORD-000034","paypal","paid","EUR",26.01,3.99,30.00
"PAY-000035","ORD-000035","apple_pay","paid","EUR",47.05,0.00,47.05
"PAY-000036","ORD-000036","paypal","refunded","EUR",39.93,0.00,39.93
"PAY-000037","ORD-000037","apple_pay","paid","EUR",15.41,3.99,19.40
"PAY-000038","ORD-000038","apple_pay","paid","EUR",64.40,0.00,64.40
"PAY-000039","ORD-000039","google_pay","paid","EUR",67.05,3.99,71.04
"PAY-000040","ORD-000040","apple_pay","paid","EUR",19.19,3.99,23.18
"PAY-000041","ORD-000041","paypal","refunded","EUR",31.25,3.99,35.24
"PAY-000042","ORD-000042","google_pay","paid","EUR",18.09,3.99,22.08
"PAY-000043","ORD-000043","apple_pay","paid","EUR",58.25,3.99,62.24
"PAY-000044","ORD-000044","apple_pay","refunded","EUR",62.51,3.99,66.50
"PAY-000045","ORD-000045","paypal","paid","EUR",27.67,3.99,31.66
"PAY-000046","ORD-000046","apple_pay","paid","EUR",32.03,3.99,36.02
"PAY-000047","ORD-000047","card","refunded","EUR",57.50,3.99,61.49
"PAY-000048","ORD-000048","paypal","paid","EUR",29.86,3.99,33.85
"PAY-000049","ORD-000049","card","paid","EUR",53.09,3.99,57.08
"PAY-000050","ORD-000050","paypal","refunded","EUR",36.68,0.00,36.68
"PAY-000051","ORD-000051","apple_pay","paid","EUR",69.09,0.00,69.09
"PAY-000052","ORD-000052","paypal","paid","EUR",56.47,3.99,60.46
"PAY-000053","ORD-000053","paypal","paid","EUR",67.57,3.99,71.56
"PAY-000054","ORD-000054","google_pay","refunded","EUR",57.19,3.99,61.18
